tv_name,weekday,timeslot,number_of_tickets,Date
Luminor Arc 65,Thursday,8-12,271,2020-02-06
Luminor Arc 65,Friday,20-24,1,2020-01-31
StellarWave A9,Thursday,8-12,0,2020-01-30
StellarWave A9,Sunday,8-12,216,2020-01-26
StellarWave A9,Wednesday,16-20,203,2020-01-22
Luminor Arc 65,Wednesday,16-20,0,2020-01-15
Luminor Arc 65,Tuesday,20-24,1,2020-01-14
Luminor Arc 65,Sunday,8-12,1,2020-01-12
StellarWave A9,Sunday,16-20,1,2020-01-05
Luminor Arc 65,Sunday,8-12,0,2019-12-29
StellarWave A9,Wednesday,0-8,2,2019-12-25
Luminor Arc 65,Sunday,0-8,8,2019-12-22
StellarWave A9,Monday,0-8,1,2019-12-16
StellarWave A9,Friday,12-16,92,2019-12-13
Luminor Arc 65,Sunday,0-8,0,2019-12-08
Luminor Arc 65,Wednesday,20-24,1,2019-12-04
StellarWave A9,Wednesday,0-8,0,2019-11-27
StellarWave A9,Thursday,0-8,0,2019-11-21
Luminor Arc 65,Thursday,12-16,255,2019-11-14
StellarWave A9,Tuesday,12-16,69,2019-11-12
Luminor Arc 65,Tuesday,0-8,0,2019-11-05
StellarWave A9,Friday,20-24,275,2019-11-01
Luminor Arc 65,Sunday,12-16,0,2019-10-27
StellarWave A9,Wednesday,20-24,255,2019-10-23
StellarWave A9,Tuesday,0-8,1,2019-10-22
Luminor Arc 65,Thursday,20-24,2,2019-10-17
Luminor Arc 65,Saturday,16-20,0,2019-10-12
Luminor Arc 65,Wednesday,0-8,0,2019-10-09
StellarWave A9,Tuesday,0-8,0,2019-10-08
StellarWave A9,Wednesday,0-8,1,2019-10-02
Luminor Arc 65,Tuesday,12-16,246,2019-10-01
StellarWave A9,Sunday,8-12,232,2019-09-29
StellarWave A9,Sunday,8-12,219,2019-09-22
Luminor Arc 65,Monday,12-16,222,2019-09-16
Luminor Arc 65,Thursday,8-12,279,2019-09-12
StellarWave A9,Friday,20-24,237,2019-09-06
StellarWave A9,Thursday,20-24,278,2019-09-05
Luminor Arc 65,Friday,12-16,247,2019-08-30
Luminor Arc 65,Friday,8-12,294,2019-08-23
Luminor Arc 65,Monday,12-16,215,2019-08-19
StellarWave A9,Tuesday,16-20,204,2019-08-13
StellarWave A9,Tuesday,8-12,2,2019-08-06
StellarWave A9,Friday,16-20,252,2019-08-02
Luminor Arc 65,Saturday,12-16,2,2019-07-27
StellarWave A9,Sunday,0-8,239,2019-07-21
Luminor Arc 65,Thursday,12-16,261,2019-07-18
Luminor Arc 65,Monday,0-8,1,2019-07-15
Luminor Arc 65,Sunday,0-8,0,2019-07-14
StellarWave A9,Friday,20-24,284,2019-07-12
Luminor Arc 65,Sunday,12-16,1,2019-07-07
StellarWave A9,Wednesday,0-8,1,2019-07-03
StellarWave A9,Friday,12-16,82,2019-06-28
StellarWave A9,Sunday,8-12,225,2019-06-23
Luminor Arc 65,Friday,12-16,276,2019-06-21
StellarWave A9,Sunday,16-20,1,2019-06-16
Luminor Arc 65,Sunday,0-8,0,2019-06-09
Luminor Arc 65,Wednesday,16-20,0,2019-06-05
StellarWave A9,Wednesday,16-20,227,2019-05-29
Luminor Arc 65,Friday,20-24,0,2019-05-24
StellarWave A9,Tuesday,0-8,0,2019-05-21
Luminor Arc 65,Wednesday,8-12,241,2019-05-15
StellarWave A9,Friday,12-16,87,2019-05-10
StellarWave A9,Monday,20-24,218,2019-05-06
StellarWave A9,Sunday,0-8,247,2019-05-05
Luminor Arc 65,Friday,8-12,269,2019-05-03
StellarWave A9,Friday,0-8,0,2019-04-26
StellarWave A9,Saturday,20-24,1,2019-04-20
StellarWave A9,Sunday,12-16,60,2019-04-14
Luminor Arc 65,Thursday,0-8,1,2019-04-11
StellarWave A9,Sunday,20-24,1,2019-04-07
Luminor Arc 65,Thursday,12-16,257,2019-04-04
Luminor Arc 65,Monday,12-16,209,2019-04-01
Luminor Arc 65,Monday,0-8,0,2019-03-25
StellarWave A9,Sunday,12-16,76,2019-03-24
StellarWave A9,Thursday,8-12,2,2019-03-21
Luminor Arc 65,Wednesday,0-8,0,2019-03-20
Luminor Arc 65,Monday,16-20,0,2019-03-18
Luminor Arc 65,Monday,12-16,214,2019-03-11
StellarWave A9,Sunday,20-24,1,2019-03-10
StellarWave A9,Saturday,20-24,2,2019-03-09
Luminor Arc 65,Sunday,12-16,0,2019-03-03
Luminor Arc 65,Monday,8-12,217,2019-02-25
Luminor Arc 65,Tuesday,0-8,5,2019-02-19
StellarWave A9,Sunday,12-16,65,2019-02-17
Luminor Arc 65,Wednesday,20-24,3,2019-02-13
StellarWave A9,Tuesday,12-16,57,2019-02-12
StellarWave A9,Thursday,20-24,261,2019-02-07
StellarWave A9,Tuesday,20-24,223,2019-02-05
Luminor Arc 65,Thursday,20-24,1,2019-01-31
StellarWave A9,Wednesday,16-20,233,2019-01-30
StellarWave A9,Friday,8-12,12,2019-01-25
StellarWave A9,Tuesday,0-8,0,2019-01-22
StellarWave A9,Tuesday,0-8,1,2019-01-15
StellarWave A9,Sunday,12-16,59,2019-01-13
Luminor Arc 65,Friday,16-20,1,2019-01-11
StellarWave A9,Tuesday,20-24,266,2019-01-08
Luminor Arc 65,Thursday,16-20,1,2019-01-03
StellarWave A9,Saturday,8-12,206,2018-12-29
StellarWave A9,Sunday,12-16,59,2018-12-23
StellarWave A9,Friday,16-20,233,2018-12-21
StellarWave A9,Monday,20-24,257,2018-12-17
Luminor Arc 65,Friday,20-24,1,2018-12-14
StellarWave A9,Friday,8-12,7,2018-12-07
Luminor Arc 65,Saturday,20-24,2,2018-12-01
StellarWave A9,Wednesday,12-16,72,2018-11-28
StellarWave A9,Thursday,16-20,231,2018-11-22
StellarWave A9,Tuesday,12-16,69,2018-11-20
StellarWave A9,Sunday,12-16,79,2018-11-18
Luminor Arc 65,Tuesday,0-8,0,2018-11-13
Luminor Arc 65,Saturday,0-8,12,2018-11-10
Luminor Arc 65,Tuesday,0-8,0,2018-11-06
Luminor Arc 65,Wednesday,0-8,0,2018-10-31
Luminor Arc 65,Thursday,12-16,283,2018-10-25
StellarWave A9,Wednesday,0-8,0,2018-10-24
StellarWave A9,Friday,8-12,4,2018-10-19
StellarWave A9,Monday,12-16,37,2018-10-15
Luminor Arc 65,Monday,0-8,0,2018-10-08
Luminor Arc 65,Saturday,16-20,2,2018-10-06
Luminor Arc 65,Thursday,0-8,0,2018-10-04
Luminor Arc 65,Thursday,0-8,2,2018-09-27
StellarWave A9,Thursday,12-16,90,2018-09-20
StellarWave A9,Wednesday,0-8,3,2018-09-19
Luminor Arc 65,Sunday,0-8,2,2018-09-16
StellarWave A9,Friday,16-20,232,2018-09-14
StellarWave A9,Sunday,0-8,262,2018-09-09
Luminor Arc 65,Thursday,16-20,2,2018-09-06
Luminor Arc 65,Tuesday,12-16,253,2018-09-04
StellarWave A9,Friday,12-16,99,2018-08-31
StellarWave A9,Thursday,12-16,69,2018-08-30
Luminor Arc 65,Wednesday,20-24,1,2018-08-29
Luminor Arc 65,Thursday,8-12,238,2018-08-23
StellarWave A9,Monday,0-8,0,2018-08-20
StellarWave A9,Tuesday,8-12,1,2018-08-14
Luminor Arc 65,Tuesday,0-8,0,2018-08-07
Luminor Arc 65,Wednesday,0-8,0,2018-08-01
Luminor Arc 65,Wednesday,16-20,1,2018-07-25
Luminor Arc 65,Monday,8-12,247,2018-07-23
StellarWave A9,Wednesday,0-8,1,2018-07-18
Luminor Arc 65,Tuesday,8-12,250,2018-07-17
StellarWave A9,Saturday,8-12,241,2018-07-14
Luminor Arc 65,Tuesday,8-12,275,2018-07-10
StellarWave A9,Wednesday,12-16,78,2018-07-04
StellarWave A9,Monday,16-20,168,2018-07-02
StellarWave A9,Monday,0-8,1,2018-06-25
StellarWave A9,Monday,12-16,58,2018-06-18
StellarWave A9,Saturday,12-16,96,2018-06-16
StellarWave A9,Tuesday,0-8,0,2018-06-12
Luminor Arc 65,Saturday,16-20,2,2018-06-09
Luminor Arc 65,Saturday,16-20,0,2018-06-02
StellarWave A9,Sunday,16-20,2,2018-05-27
StellarWave A9,Tuesday,20-24,255,2018-05-22
StellarWave A9,Wednesday,0-8,0,2018-05-16
Luminor Arc 65,Sunday,0-8,1,2018-05-13
StellarWave A9,Wednesday,12-16,85,2018-05-09
StellarWave A9,Thursday,8-12,1,2018-05-03
Luminor Arc 65,Wednesday,0-8,2,2018-05-02
StellarWave A9,Wednesday,16-20,235,2018-04-25
Luminor Arc 65,Saturday,16-20,2,2018-04-21
StellarWave A9,Thursday,0-8,3,2018-04-19
Luminor Arc 65,Monday,0-8,0,2018-04-16
StellarWave A9,Saturday,16-20,2,2018-04-14
StellarWave A9,Friday,8-12,0,2018-04-13
Luminor Arc 65,Saturday,8-12,0,2018-04-07
Luminor Arc 65,Thursday,8-12,256,2018-04-05
Luminor Arc 65,Sunday,16-20,0,2018-04-01
Luminor Arc 65,Tuesday,8-12,269,2018-03-27
Luminor Arc 65,Monday,12-16,238,2018-03-26
StellarWave A9,Wednesday,12-16,74,2018-03-21
Luminor Arc 65,Thursday,20-24,0,2018-03-15
Luminor Arc 65,Wednesday,12-16,249,2018-03-14
Luminor Arc 65,Wednesday,20-24,1,2018-03-07
StellarWave A9,Tuesday,0-8,1,2018-03-06
Luminor Arc 65,Wednesday,0-8,2,2018-02-28
Luminor Arc 65,Tuesday,0-8,3,2018-02-27
StellarWave A9,Sunday,0-8,256,2018-02-25
StellarWave A9,Saturday,0-8,291,2018-02-24
StellarWave A9,Tuesday,20-24,264,2018-02-20
Luminor Arc 65,Saturday,8-12,0,2018-02-17
StellarWave A9,Saturday,12-16,85,2018-02-10
Luminor Arc 65,Monday,12-16,216,2018-02-05
StellarWave A9,Tuesday,12-16,56,2018-01-30
StellarWave A9,Wednesday,0-8,0,2018-01-24
Luminor Arc 65,Thursday,16-20,0,2018-01-18
StellarWave A9,Wednesday,16-20,207,2018-01-17
Luminor Arc 65,Friday,20-24,0,2018-01-12
StellarWave A9,Wednesday,0-8,0,2018-01-10
Luminor Arc 65,Thursday,16-20,0,2018-01-04
Luminor Arc 65,Tuesday,20-24,2,2018-01-02
Luminor Arc 65,Wednesday,12-16,230,2017-12-27
Luminor Arc 65,Thursday,8-12,248,2017-12-21
StellarWave A9,Tuesday,12-16,70,2017-12-19
Luminor Arc 65,Saturday,16-20,2,2017-12-16
StellarWave A9,Sunday,0-8,239,2017-12-10
Luminor Arc 65,Tuesday,0-8,1,2017-12-05
StellarWave A9,Wednesday,0-8,0,2017-11-29
Luminor Arc 65,Friday,20-24,2,2017-11-24
Luminor Arc 65,Wednesday,20-24,2,2017-11-22
StellarWave A9,Friday,16-20,226,2017-11-17
Luminor Arc 65,Sunday,8-12,3,2017-11-12
Luminor Arc 65,Saturday,16-20,0,2017-11-11
Luminor Arc 65,Friday,8-12,274,2017-11-10
StellarWave A9,Tuesday,16-20,204,2017-11-07
Luminor Arc 65,Saturday,8-12,1,2017-11-04
StellarWave A9,Thursday,12-16,95,2017-11-02
Luminor Arc 65,Tuesday,12-16,234,2017-10-31
StellarWave A9,Saturday,8-12,209,2017-10-28
StellarWave A9,Wednesday,16-20,209,2017-10-25
StellarWave A9,Saturday,0-8,317,2017-10-21
Luminor Arc 65,Sunday,16-20,0,2017-10-15
StellarWave A9,Tuesday,0-8,1,2017-10-10
Luminor Arc 65,Saturday,0-8,20,2017-10-07
Luminor Arc 65,Sunday,20-24,1,2017-10-01
StellarWave A9,Friday,16-20,245,2017-09-29
StellarWave A9,Monday,0-8,0,2017-09-25
StellarWave A9,Wednesday,20-24,265,2017-09-20
Luminor Arc 65,Tuesday,20-24,0,2017-09-19
StellarWave A9,Tuesday,16-20,187,2017-09-12
Luminor Arc 65,Tuesday,8-12,253,2017-09-05
StellarWave A9,Tuesday,16-20,198,2017-08-29
StellarWave A9,Saturday,0-8,276,2017-08-26
Luminor Arc 65,Thursday,12-16,276,2017-08-24
StellarWave A9,Saturday,12-16,92,2017-08-19
StellarWave A9,Thursday,12-16,79,2017-08-17
Luminor Arc 65,Tuesday,8-12,268,2017-08-15
StellarWave A9,Friday,12-16,69,2017-08-11
StellarWave A9,Wednesday,16-20,218,2017-08-09
Luminor Arc 65,Saturday,0-8,9,2017-08-05
Luminor Arc 65,Saturday,8-12,2,2017-07-29
StellarWave A9,Tuesday,8-12,1,2017-07-25
Luminor Arc 65,Tuesday,0-8,1,2017-07-18
Luminor Arc 65,Friday,20-24,1,2017-07-14
StellarWave A9,Thursday,12-16,77,2017-07-13
StellarWave A9,Thursday,0-8,1,2017-07-06
Luminor Arc 65,Friday,0-8,0,2017-06-30
Luminor Arc 65,Tuesday,20-24,1,2017-06-27
StellarWave A9,Thursday,8-12,0,2017-06-22
StellarWave A9,Tuesday,12-16,62,2017-06-20
StellarWave A9,Saturday,12-16,81,2017-06-17
Luminor Arc 65,Wednesday,12-16,254,2017-06-14
StellarWave A9,Friday,0-8,1,2017-06-09
StellarWave A9,Saturday,12-16,87,2017-06-03
Luminor Arc 65,Thursday,16-20,0,2017-06-01
StellarWave A9,Monday,12-16,45,2017-05-29
Luminor Arc 65,Wednesday,16-20,0,2017-05-24
StellarWave A9,Monday,0-8,1,2017-05-22
Luminor Arc 65,Sunday,12-16,2,2017-05-21
StellarWave A9,Wednesday,20-24,281,2017-05-17
Luminor Arc 65,Thursday,12-16,269,2017-05-11
StellarWave A9,Monday,20-24,261,2017-05-08
StellarWave A9,Sunday,16-20,0,2017-05-07
Luminor Arc 65,Tuesday,12-16,233,2017-05-02
StellarWave A9,Wednesday,12-16,67,2017-04-26
Luminor Arc 65,Sunday,12-16,0,2017-04-23
StellarWave A9,Sunday,16-20,0,2017-04-16
StellarWave A9,Wednesday,16-20,212,2017-04-12
Luminor Arc 65,Saturday,16-20,0,2017-04-08
StellarWave A9,Thursday,16-20,212,2017-04-06
Luminor Arc 65,Monday,12-16,217,2017-04-03
StellarWave A9,Sunday,16-20,0,2017-04-02
StellarWave A9,Saturday,8-12,247,2017-04-01
Luminor Arc 65,Friday,16-20,1,2017-03-31
StellarWave A9,Friday,0-8,2,2017-03-24
Luminor Arc 65,Monday,8-12,253,2017-03-20
Luminor Arc 65,Sunday,0-8,11,2017-03-19
StellarWave A9,Sunday,0-8,283,2017-03-12
Luminor Arc 65,Thursday,20-24,3,2017-03-09
Luminor Arc 65,Wednesday,16-20,0,2017-03-08
StellarWave A9,Saturday,20-24,1,2017-03-04
StellarWave A9,Monday,20-24,253,2017-02-27
Luminor Arc 65,Friday,8-12,252,2017-02-24
Luminor Arc 65,Monday,8-12,270,2017-02-20
Luminor Arc 65,Monday,20-24,1,2017-02-13
StellarWave A9,Wednesday,8-12,1,2017-02-08
StellarWave A9,Sunday,8-12,223,2017-02-05
StellarWave A9,Wednesday,0-8,1,2017-02-01
StellarWave A9,Monday,8-12,0,2017-01-30
StellarWave A9,Wednesday,0-8,4,2017-01-25
Luminor Arc 65,Friday,12-16,307,2017-01-20
StellarWave A9,Monday,20-24,231,2017-01-16
StellarWave A9,Thursday,8-12,1,2017-01-12
Luminor Arc 65,Saturday,12-16,3,2017-01-07
StellarWave A9,Monday,0-8,2,2017-01-02
Luminor Arc 65,Friday,16-20,0,2016-12-30
StellarWave A9,Tuesday,20-24,247,2016-12-27
StellarWave A9,Wednesday,0-8,1,2016-12-21
StellarWave A9,Monday,12-16,60,2016-12-19
StellarWave A9,Monday,16-20,199,2016-12-12
Luminor Arc 65,Monday,20-24,1,2016-12-05
Luminor Arc 65,Saturday,12-16,1,2016-12-03
StellarWave A9,Friday,20-24,277,2016-12-02
StellarWave A9,Thursday,20-24,244,2016-12-01
Luminor Arc 65,Tuesday,20-24,3,2016-11-29
StellarWave A9,Tuesday,0-8,1,2016-11-22
Luminor Arc 65,Tuesday,16-20,0,2016-11-15
Luminor Arc 65,Tuesday,8-12,293,2016-11-08
Luminor Arc 65,Thursday,0-8,2,2016-11-03
Luminor Arc 65,Monday,0-8,4,2016-10-31
Luminor Arc 65,Saturday,16-20,1,2016-10-29
Luminor Arc 65,Thursday,12-16,266,2016-10-27
StellarWave A9,Thursday,20-24,286,2016-10-20
Luminor Arc 65,Friday,12-16,266,2016-10-14
Luminor Arc 65,Sunday,12-16,2,2016-10-09
Luminor Arc 65,Saturday,16-20,0,2016-10-08
StellarWave A9,Wednesday,12-16,79,2016-10-05
StellarWave A9,Thursday,20-24,269,2016-09-29
Luminor Arc 65,Wednesday,20-24,1,2016-09-28
StellarWave A9,Monday,12-16,62,2016-09-26
StellarWave A9,Wednesday,8-12,1,2016-09-21
StellarWave A9,Friday,16-20,217,2016-09-16
StellarWave A9,Monday,8-12,0,2016-09-12
StellarWave A9,Wednesday,16-20,217,2016-09-07
StellarWave A9,Thursday,20-24,291,2016-09-01
Luminor Arc 65,Wednesday,12-16,239,2016-08-31
Luminor Arc 65,Sunday,20-24,0,2016-08-28
Luminor Arc 65,Tuesday,16-20,0,2016-08-23
StellarWave A9,Monday,8-12,0,2016-08-22
StellarWave A9,Wednesday,16-20,216,2016-08-17
Luminor Arc 65,Thursday,0-8,1,2016-08-11
StellarWave A9,Thursday,8-12,3,2016-08-04
StellarWave A9,Tuesday,0-8,2,2016-08-02
Luminor Arc 65,Wednesday,12-16,231,2016-07-27
Luminor Arc 65,Tuesday,20-24,1,2016-07-26
Luminor Arc 65,Saturday,8-12,0,2016-07-23
Luminor Arc 65,Wednesday,20-24,0,2016-07-20
StellarWave A9,Saturday,16-20,0,2016-07-16
StellarWave A9,Friday,0-8,2,2016-07-15
StellarWave A9,Tuesday,0-8,0,2016-07-12
StellarWave A9,Wednesday,16-20,210,2016-07-06
StellarWave A9,Wednesday,0-8,1,2016-06-29
StellarWave A9,Wednesday,12-16,73,2016-06-22
StellarWave A9,Wednesday,20-24,272,2016-06-15
Luminor Arc 65,Monday,8-12,236,2016-06-13
StellarWave A9,Wednesday,8-12,0,2016-06-08
StellarWave A9,Thursday,12-16,84,2016-06-02
StellarWave A9,Tuesday,16-20,201,2016-05-31
Luminor Arc 65,Saturday,16-20,1,2016-05-28
Luminor Arc 65,Thursday,20-24,4,2016-05-26
Luminor Arc 65,Wednesday,20-24,0,2016-05-25
Luminor Arc 65,Wednesday,8-12,252,2016-05-18
StellarWave A9,Tuesday,8-12,0,2016-05-17
StellarWave A9,Monday,20-24,276,2016-05-16
StellarWave A9,Sunday,0-8,260,2016-05-15
StellarWave A9,Tuesday,12-16,63,2016-05-10
Luminor Arc 65,Tuesday,12-16,262,2016-05-03
Luminor Arc 65,Sunday,0-8,4,2016-05-01
StellarWave A9,Tuesday,16-20,198,2016-04-26
Luminor Arc 65,Saturday,16-20,1,2016-04-23
Luminor Arc 65,Friday,20-24,0,2016-04-22
Luminor Arc 65,Thursday,12-16,252,2016-04-21
Luminor Arc 65,Saturday,0-8,8,2016-04-16
Luminor Arc 65,Saturday,0-8,20,2016-04-09
StellarWave A9,Wednesday,16-20,221,2016-04-06
Luminor Arc 65,Friday,12-16,244,2016-04-01
StellarWave A9,Friday,16-20,229,2016-03-25
StellarWave A9,Monday,20-24,240,2016-03-21
Luminor Arc 65,Monday,8-12,249,2016-03-14
StellarWave A9,Thursday,8-12,1,2016-03-10
Luminor Arc 65,Thursday,0-8,1,2016-03-03
StellarWave A9,Monday,8-12,2,2016-02-29
Luminor Arc 65,Thursday,12-16,256,2016-02-25
Luminor Arc 65,Sunday,20-24,0,2016-02-21
StellarWave A9,Tuesday,20-24,244,2016-02-16
StellarWave A9,Monday,20-24,236,2016-02-15
Luminor Arc 65,Saturday,16-20,2,2016-02-13
StellarWave A9,Thursday,16-20,225,2016-02-11
Luminor Arc 65,Thursday,20-24,0,2016-02-04
StellarWave A9,Monday,20-24,255,2016-02-01
StellarWave A9,Monday,12-16,49,2016-01-25
StellarWave A9,Saturday,0-8,255,2016-01-23
StellarWave A9,Thursday,12-16,77,2016-01-21
StellarWave A9,Wednesday,0-8,0,2016-01-20
Luminor Arc 65,Friday,0-8,5,2016-01-15
Luminor Arc 65,Sunday,0-8,7,2016-01-10
StellarWave A9,Tuesday,12-16,79,2016-01-05
Luminor Arc 65,Sunday,0-8,0,2016-01-03
Luminor Arc 65,Wednesday,8-12,236,2015-12-30
Luminor Arc 65,Monday,0-8,1,2015-12-28
Luminor Arc 65,Wednesday,16-20,1,2015-12-23
StellarWave A9,Thursday,16-20,215,2015-12-17
StellarWave A9,Tuesday,12-16,66,2015-12-15
StellarWave A9,Sunday,0-8,245,2015-12-13
Luminor Arc 65,Wednesday,8-12,276,2015-12-09
Luminor Arc 65,Friday,0-8,2,2015-12-04
Luminor Arc 65,Friday,12-16,242,2015-11-27
StellarWave A9,Tuesday,0-8,3,2015-11-24
StellarWave A9,Thursday,20-24,266,2015-11-19
StellarWave A9,Saturday,20-24,3,2015-11-14
StellarWave A9,Thursday,20-24,275,2015-11-12
StellarWave A9,Friday,0-8,0,2015-11-06
Luminor Arc 65,Thursday,20-24,0,2015-11-05
Luminor Arc 65,Wednesday,12-16,247,2015-11-04
Luminor Arc 65,Sunday,12-16,1,2015-11-01
Luminor Arc 65,Sunday,0-8,2,2015-10-25
StellarWave A9,Wednesday,12-16,70,2015-10-21
StellarWave A9,Monday,16-20,203,2015-10-19
StellarWave A9,Thursday,16-20,246,2015-10-15
StellarWave A9,Wednesday,12-16,73,2015-10-14
Luminor Arc 65,Sunday,20-24,1,2015-10-11
Luminor Arc 65,Tuesday,20-24,0,2015-10-06
Luminor Arc 65,Monday,8-12,256,2015-10-05
Luminor Arc 65,Saturday,16-20,0,2015-10-03
StellarWave A9,Friday,12-16,98,2015-10-02
StellarWave A9,Thursday,12-16,82,2015-10-01
StellarWave A9,Friday,12-16,96,2015-09-25
StellarWave A9,Thursday,20-24,280,2015-09-24
Luminor Arc 65,Tuesday,8-12,255,2015-09-22
Luminor Arc 65,Wednesday,20-24,0,2015-09-16
StellarWave A9,Monday,8-12,1,2015-09-14
Luminor Arc 65,Thursday,16-20,0,2015-09-10
StellarWave A9,Friday,16-20,249,2015-09-04
StellarWave A9,Friday,12-16,100,2015-08-28
Luminor Arc 65,Wednesday,8-12,298,2015-08-26
Luminor Arc 65,Thursday,16-20,1,2015-08-20
Luminor Arc 65,Tuesday,16-20,1,2015-08-18
Luminor Arc 65,Friday,0-8,2,2015-08-14
Luminor Arc 65,Sunday,8-12,3,2015-08-09
Luminor Arc 65,Saturday,8-12,2,2015-08-08
Luminor Arc 65,Wednesday,12-16,223,2015-08-05
StellarWave A9,Monday,12-16,45,2015-08-03
Luminor Arc 65,Sunday,8-12,0,2015-08-02
Luminor Arc 65,Friday,20-24,1,2015-07-31
StellarWave A9,Thursday,8-12,1,2015-07-30
Luminor Arc 65,Wednesday,0-8,2,2015-07-29
StellarWave A9,Friday,16-20,243,2015-07-24
Luminor Arc 65,Sunday,16-20,1,2015-07-19
Luminor Arc 65,Friday,20-24,1,2015-07-17
Luminor Arc 65,Tuesday,12-16,203,2015-07-14
StellarWave A9,Tuesday,0-8,0,2015-07-07
StellarWave A9,Saturday,20-24,2,2015-07-04
StellarWave A9,Tuesday,8-12,1,2015-06-30
Luminor Arc 65,Sunday,20-24,1,2015-06-28
Luminor Arc 65,Friday,16-20,1,2015-06-26
Luminor Arc 65,Monday,20-24,0,2015-06-22
Luminor Arc 65,Saturday,0-8,10,2015-06-20
StellarWave A9,Tuesday,0-8,1,2015-06-16
StellarWave A9,Wednesday,8-12,4,2015-06-10
Luminor Arc 65,Tuesday,0-8,2,2015-06-09
StellarWave A9,Tuesday,20-24,262,2015-06-02
Luminor Arc 65,Wednesday,16-20,0,2015-05-27
Luminor Arc 65,Wednesday,8-12,288,2015-05-20
Luminor Arc 65,Friday,16-20,1,2015-05-15
Luminor Arc 65,Wednesday,8-12,286,2015-05-13
StellarWave A9,Thursday,12-16,93,2015-05-07
Luminor Arc 65,Thursday,8-12,281,2015-04-30
StellarWave A9,Wednesday,0-8,2,2015-04-29
Luminor Arc 65,Sunday,16-20,2,2015-04-26
Luminor Arc 65,Sunday,12-16,2,2015-04-19
StellarWave A9,Saturday,0-8,237,2015-04-18
StellarWave A9,Friday,8-12,12,2015-04-17
Luminor Arc 65,Wednesday,0-8,2,2015-04-15
StellarWave A9,Friday,12-16,112,2015-04-10
Luminor Arc 65,Wednesday,16-20,3,2015-04-08
Luminor Arc 65,Monday,20-24,0,2015-04-06
Luminor Arc 65,Wednesday,8-12,278,2015-04-01
StellarWave A9,Tuesday,16-20,202,2015-03-31
StellarWave A9,Tuesday,20-24,264,2015-03-24
Luminor Arc 65,Wednesday,20-24,1,2015-03-18
Luminor Arc 65,Saturday,20-24,1,2015-03-14
Luminor Arc 65,Tuesday,20-24,3,2015-03-10
Luminor Arc 65,Monday,20-24,0,2015-03-09
Luminor Arc 65,Saturday,8-12,1,2015-03-07
Luminor Arc 65,Sunday,8-12,3,2015-03-01
StellarWave A9,Sunday,12-16,83,2015-02-22
Luminor Arc 65,Wednesday,16-20,0,2015-02-18
StellarWave A9,Friday,16-20,233,2015-02-13
StellarWave A9,Monday,0-8,0,2015-02-09
Luminor Arc 65,Wednesday,16-20,0,2015-02-04
StellarWave A9,Tuesday,0-8,2,2015-02-03
Luminor Arc 65,Tuesday,0-8,0,2015-01-27
StellarWave A9,Saturday,20-24,2,2015-01-24
Luminor Arc 65,Tuesday,8-12,246,2015-01-20
StellarWave A9,Sunday,8-12,196,2015-01-18
Luminor Arc 65,Monday,8-12,243,2015-01-12
StellarWave A9,Saturday,0-8,244,2015-01-10
StellarWave A9,Wednesday,16-20,228,2015-01-07
Luminor Arc 65,Monday,0-8,0,2015-01-05
StellarWave A9,Tuesday,16-20,211,2014-12-30
Luminor Arc 65,Tuesday,20-24,1,2014-12-23
Luminor Arc 65,Wednesday,20-24,1,2014-12-17
StellarWave A9,Saturday,12-16,69,2014-12-13
Luminor Arc 65,Wednesday,12-16,232,2014-12-10
StellarWave A9,Wednesday,0-8,2,2014-12-03
StellarWave A9,Friday,20-24,268,2014-11-28
Luminor Arc 65,Sunday,8-12,0,2014-11-23
Luminor Arc 65,Saturday,20-24,1,2014-11-22
Luminor Arc 65,Tuesday,16-20,1,2014-11-18
StellarWave A9,Friday,0-8,1,2014-11-14
StellarWave A9,Tuesday,12-16,73,2014-11-11
Luminor Arc 65,Saturday,12-16,1,2014-11-08
Luminor Arc 65,Thursday,12-16,221,2014-11-06
StellarWave A9,Sunday,20-24,1,2014-11-02
Luminor Arc 65,Tuesday,12-16,231,2014-10-28
Luminor Arc 65,Thursday,16-20,2,2014-10-23
StellarWave A9,Thursday,8-12,0,2014-10-16
Luminor Arc 65,Tuesday,20-24,0,2014-10-14
StellarWave A9,Sunday,16-20,0,2014-10-12
Luminor Arc 65,Thursday,8-12,278,2014-10-09
StellarWave A9,Thursday,12-16,68,2014-10-02
StellarWave A9,Monday,16-20,230,2014-09-29
Luminor Arc 65,Wednesday,16-20,0,2014-09-24
StellarWave A9,Wednesday,0-8,1,2014-09-17
Luminor Arc 65,Friday,12-16,264,2014-09-12
StellarWave A9,Saturday,16-20,0,2014-09-06
StellarWave A9,Thursday,8-12,2,2014-09-04
StellarWave A9,Thursday,8-12,7,2014-08-28
StellarWave A9,Tuesday,20-24,252,2014-08-26
StellarWave A9,Sunday,16-20,1,2014-08-24
Luminor Arc 65,Sunday,0-8,12,2014-08-17
StellarWave A9,Wednesday,8-12,1,2014-08-13
Luminor Arc 65,Sunday,12-16,0,2014-08-10
Luminor Arc 65,Saturday,16-20,0,2014-08-09
StellarWave A9,Saturday,0-8,260,2014-08-02
StellarWave A9,Wednesday,20-24,243,2014-07-30
Luminor Arc 65,Wednesday,0-8,1,2014-07-23
StellarWave A9,Tuesday,8-12,0,2014-07-22
